STT,Summary name,Description,Steps to reproduce,Data,Expected Result,Mô tả lỗi,Hình ảnh/Flow lỗi(nếu có),GG Drive ,Priority,MT,Status,ReOpen,Ngày tạo,Hoàn thành,Ghi chú,Người tạo,Người sửa,Reply
11,Button Quay lại KHÔNG reset trạng thái form Đăng ký: trường Xác nhận mật khẩu ,"Tại màn hình Đăng ký, nếu nhấn Quay lại để trở về màn hình Chọn tài khoản rồi sau đó mở lại màn hình Đăng ký, thì hệ thống không reset form thông tin đăng ký (cụ thể là trường Xác nhận mật khẩu)","1. Truy cập trang Đăng ký
2. Nhấn chọn đăng ký tài khoản bất kỳ 
3. Nhập thông tin vào trường Xác nhận mật khẩu
4. Nhấn Quay lại
5. Mở lại màn hình đăng ký 
6. Quan sát trạng thái của form hiển thị",,"Hệ thống điều hướng trở lại trang Đăng ký đúng
Khi vào lại màn hình Nhập thông tin tài khoản, các input box được reset trống",,,,M,"ĐN, ĐK",Ðã hoàn thành,,10/10/2025,13/10/2025,,Hoa,Trịnh Trần Phương Chiến,
12,Lỗi đẩy ảnh lên web không hiển thị tại khung ảnh đại diện trang Kênh của tôi ,"Ảnh tải lên thành công và xuất hiện trong Thư viện của tôi > public > avatar, nhưng KHÔNG hiển thị tại khung ảnh đại diện trên trang Kênh của tôi ","1. Truy cập Kênh của tôi
2. Nhấn Tùy chỉnh 
3. Thực hiện Thêm ảnh đại diện hợp lệ 
4. Nhấn Lưu tùy chỉnh 
5. Kiểm tra:
- Thư viện của tôi > public > avatar
- Khung ảnh đại diện trên trang Kênh của tôi ",,"Ảnh tải lên thành công:
- Hiển thị trong Thư viện ảnh đại diện
- Được gán và hiển thị ngay tại khung ảnh đại diện của kênh ",,,,M,Kênh của tôi,Ðã hoàn thành,,13/10/2025,13/10/2025,,Hoa,Trịnh Trần Phương Chiến,
13,Lỗi đồng bộ hiển thị ,"Sau khi thay đổi ảnh đại diện thành công ở phiên A, việc hiển thị ảnh đại diện ở phiên B (cùng tài khoản) không được đồng bộ chính xác. Cụ thể, sau khi reload trang ở phiên B, khung ảnh đại diện trong form Tùy chỉnh kênh chưa được cập nhật theo ảnh mới từ phiên A","1. Tại máy A, truy cập trang Kênh của tôi → Thực hiện đổi ảnh đại diện thành công
2. Kiểm tra ảnh đại diện hiển thị tại:
- Khung ảnh đại diện ở màn hình chính Kênh của tôi
- Ảnh đại diện trong form Tùy chỉnh kênh → Ảnh mới được cập nhật đúng
3. Tại máy B, truy cập cùng tài khoản → Tại trang Kênh của tôi, thực hiện F5/Reload trang
4. Kiểm tra ảnh đại diện hiển thị tại:
- Khung ảnh đại diện ở màn hình chính Kênh của tôi
- Ảnh đại diện trong form Tùy chỉnh kênh → Quan sát kết quả hiển thị","TK: mxh04@el.net
MK: 123456","- Khung ảnh đại diện ở màn hình chính Kênh của tôi được cập nhật đồng bộ
- Ảnh đại diện trong form Tùy chỉnh kênh cũng phải tự động hiển thị ảnh mới sau khi reload, không còn ảnh cũ
- Không cần thao tác thủ công (như đăng xuất → đăng nhập lại) để làm mới; hệ thống phải đảm bảo dữ liệu được đồng bộ theo thời gian thực hoặc ngay khi tải lại trang",,,,M,Kênh của tôi,Pending,,13/10/2025,,,Hoa,Trịnh Trần Phương Chiến,
14,Lỗi fallback ảnh nền không đúng mong đợi khi Chọn ảnh nền tùy chỉnh nhưng không upload ảnh,"Hệ thống cho phép lưu thành công khi người dùng chọn radio Chọn ảnh tùy chỉnh nhưng không upload ảnh. Sau khi lưu, ảnh nền của kênh bị set sang ảnh avatar mặc định từ ui-avatars.com, không đúng với lựa chọn Chọn ảnh tùy chỉnh. Đồng thời, ảnh này không tồn tại trong thư viện ảnh nền ","1. Truy cập trang Kênh của tôi, chọn Tùy chỉnh 
2. Chọn radio Chọn ảnh tùy chỉnh và KHÔNG Thêm ảnh nền 
3. Click Lưu tùy chỉnh
4. Quan sát hành vi của hệ thống ",,"- Vẫn cho phép lưu form Tùy chỉnh
- Tự động hiển thị ảnh nền mặc định theo thiết kế 
- Thư viện ảnh nền không tạo thêm ảnh rỗng hoặc URL lỗi 
- Khi mở lại form, trạng thái radio chọn ở Chọn ảnh tùy chỉnh và preview hiển thị đúng ảnh nền mặc định đã fill tự động   ",,,,M,Kênh của tôi,Ðã hoàn thành,,13/10/2025,27/10/2025,Background auto không fill xuống background custom ,Hoa,Trịnh Trần Phương Chiến,
15,Ảnh đại diện hiển thị lỗi khi Chọn ảnh nền tùy chỉnh nhưng không upload ảnh nền,"Khi người dùng chọn radio Chọn ảnh tùy chỉnh nhưng không upload ảnh, sau khi nhấn Lưu tùy chỉnh, ảnh đại diện của kênh bị lỗi hiển thị (hiển thị default avatar). Lỗi xảy ra mặc dù không thực hiện bất kỳ thao tác nào liên quan đến ảnh đại diện","1. Truy cập trang Kênh của tôi, chọn Tùy chỉnh
2. Tại mục ảnh nền, chọn radio Chọn ảnh tùy chỉnh
3. Không upload ảnh nền
4. Nhấn nút Lưu tùy chỉnh
5. Quan sát phần hiển thị ảnh đại diện của kênh sau khi lưu trong form Tùy chỉnh kênh ",,"- Ảnh đại diện phải giữ nguyên như trước, không bị ảnh hưởng bởi thao tác với ảnh nền
- Không có lỗi hiển thị (vỡ ảnh, icon lỗi, URL null, v.v)
- Không có request hoặc state nào thay đổi liên quan đến ảnh đại diện",,,,M,Kênh của tôi,Ðã hoàn thành,,13/10/2025,15/10/2025,,Hoa,Trịnh Trần Phương Chiến,
16,Ảnh đại diện & ảnh nền KHÔNG tự cập nhật sau khi xóa trong Thư viện của tôi (trang Tùy chỉnh kênh),"Khi người dùng xóa ảnh đại diện, ảnh nền đang được sử dụng cho kênh trong Thư viện, ảnh vẫn được hiển thị trong form Tùy chỉnh kênh. Chỉ khi F5 (reload trang) thì form Tùy chỉnh kênh mới được hiển thị đúng ","1. Truy cập trang Kênh của tôi, chọn Tùy chỉnh
2. Upload ảnh đại diện, ảnh nền mới hợp lệ 
3. Lưu tùy chỉnh → ảnh hiển thị đúng, đồng bộ giữa các màn hình Kênh của tôi và Tùy chỉnh kênh
4. Vào Thư viện của tôi, xóa ảnh vừa upload trong thư mục public>avatar và public>background
5. Quan sát tại màn hình chính Kênh của tôi và trang Tùy chỉnh kênh
6. F5 trang → trang Tùy chỉnh kênh hiển thị đúng, đồng bộ với màn hình Kênh của tôi ",,"Cập nhật hiển thị ở cả màn hình Kênh của tôi và trang Tùy chỉnh kênh, chuyển về ảnh mặc định (theo thiết kế) và đồng bộ dữ liệu, không cần F5 thủ công",,,,M,Kênh của tôi,Pending,1 🤥,13/10/2025,,15/10 RO: lỗi đồng bộ khi thực hiện xóa đồng thời avatar và ảnh nền,Hoa,Trịnh Trần Phương Chiến,
17,Không hiển thị content media,"Chi tiết bài giảng hiển thị đúng file nội dung, nhưng tại màn hình Quản lý nội dung > Chi tiết bài giảng không hiển thị file tại mục Nội dung","1. Tạo bài giảng mới hợp lệ tại Kênh của tôi 
2. Xem chi tiết bài giảng từ màn hình Kênh của tôi 
3. Nhấn Quản lý nội dung > Chỉnh sửa chi tiết bài giảng 
4. Quan sát mục Nội dung ",,Hiển thị đúng theo thông tin đã tạo ,,,,M,Kênh của tôi,Ðã hoàn thành,,13/10/2025,15/10/2025,,Hoa,Trịnh Trần Phương Chiến,
18,Lỗi url ảnh màn hình Hướng dẫn ,,"1. Tạo bài giảng mới hợp lệ tại Kênh của tôi
2. Chọn màn hình Hướng dẫn, quan sát hiển thị ảnh thumbnail của bài giảng ",,url ảnh của lesson sẽ không có domain,,,,M,Approve lesson ,Ðã hoàn thành,,13/10/2025,15/10/2025,,Hoa,Trịnh Trần Phương Chiến,
19,Lỗi url ảnh trong Quản lý chi tiết bộ bài giảng ,URL ảnh bị lỗi dẫn đến không hiển thị ảnh trong màn hình Quản lý nội dung > Chi tiết bộ bài giảng ,"1. Kênh của tôi > Quản lý nội dung > Bộ bài giảng 
2. Click xem chi tiết bộ bài giảng 
3. Quan sát màn hình Quản lý chi tiết bộ bài giảng ",,"Ảnh hiển thị đầy đủ, đồng bộ giữa các màn hình hiển thị ảnh bài giảng, bộ bài giảng ",,,,H,Kênh của tôi,Ðã hoàn thành,,14/10/2025,15/10/2025,,Hoa,Trịnh Trần Phương Chiến,
20,Lỗi tiêu đề navbar Quản lý chi tiết bộ bài giảng ,Không hiển thị tên bộ bài giảng tại thanh Navbar khi xem chi tiết bộ bài giảng (Quản lý nội dung),"1. Kênh của tôi > Quản lý nội dung > Bộ bài giảng 
2. Click xem chi tiết bộ bài giảng 
3. Quan sát hiển thị tên bộ bài giảng trên thanh navbar ",,Navbar hiển thị đúng tiêu đề của bộ bài giảng ,,,,M,Kênh của tôi,Ðã hoàn thành,,14/10/2025,15/10/2025,,Hoa,Trịnh Trần Phương Chiến,
21,Lỗi trạng thái xác minh trong bộ bài giảng,"Trạng thái xác minh của bài giảng, bộ bài giảng giữa các màn hình hiển thị không đồng bộ (Quản lý nội dung bộ bài giảng, Kênh của tôi, Xem chi tiết bộ bài giảng)","Quan sát trạng thái xác minh tại các màn hình sau:
- Màn hình chính Kênh của tôi 
- Xem chi tiết bộ bài giảng 
- Quản lý nội dung > Bộ bài giảng > Xem chi tiết bộ bài giảng ","TK: mxh04@el.net
MK: 123456
test bai giang 4",Hệ thống hiển thị đồng bộ trạng thái xác minh cho bộ bài giảng ,,,,H,Kênh của tôi,Thực hiện lại,2 😡,14/10/2025,,"16/10 RO: lỗi đồng bộ đối với bài mới được xác minh 1 phần 
27/10: Do prop trong data trả ra lỗi (có ảnh trong tele) BE",Hoa,Trịnh Trần Phương Chiến,
22,Lỗi sidebar màn watch (media),"Tại màn hình xem chi tiết bộ bài giảng (watch media), sidebar vẫn hiển thị trong khi theo thiết kế, màn hình này không được phép hiển thị sidebar","1. Nhấn xem chi tiết bộ bài giảng 
2. Quan sát màn hình hiển thị của trang Chi tiết bài giảng ",,Không hiển thị sidebar trên màn hình ,,,,M,Kênh của tôi,Ðã hoàn thành,,14/10/2025,16/10/2025,,Hoa,Trịnh Trần Phương Chiến,
23,Lỗi fill lesson trong modal create_lesson (lesson_series),"Khi mở modal Thêm bài giảng trong quy trình tạo bộ bài giảng, sau khi click chọn một bài giảng bất kỳ, danh sách hiển thị bị nhảy, một số bài giảng bị mất hoặc thay đổi thứ tự bất thường","1. Truy cập màn hình Kênh của tôi
2. Nhấn Tạo mới > Tạo bộ bài giảng 
3. Nhấn Thêm chủ đề > Thêm bài giảng 
4. Quan sát danh sách hiển thị bài giảng tại modal Thêm bài giảng khi click chọn bài giảng bất kỳ  ",,"- Danh sách bài giảng trong modal giữ nguyên trạng thái hiển thị sau khi chọn
- Các bài giảng đã có vẫn được hiển thị đầy đủ, không bị mất hoặc thay đổi thứ tự bất thường
",,,,M,Kênh của tôi,Ðã hoàn thành,1 🤥,15/10/2025,27/10/2025,16/10 RO,Hoa,Trịnh Trần Phương Chiến,
24,Trạng thái hiển thị giá bài giảng không cập nhật sau khi chỉnh sửa giá từ 0 → có giá,"Sau khi chỉnh sửa giá bài giảng từ 0 sang một giá trị > 0, giao diện không cập nhật trạng thái hiển thị giá. Hệ thống vẫn hiển thị Miễn phí thay vì hiển thị theo giá mới","1. Truy cập màn hình Kênh của tôi
2. Nhấn Tạo mới → Tạo bài giảng
3. Tạo bài giảng mới hợp lệ với giá của bài là 0
4. Sau khi bài giảng được tạo thành công, truy cập lại chỉnh sửa bài giảng vừa tạo
5. Thay đổi giá từ 0 → một giá trị > 0 (ví dụ: 100.000 VNĐ), nhấn Lưu
6. Quan sát hiển thị giá của bài giảng vừa tạo tại màn hình chính Kênh của tôi
7. Truy cập trang Tùy chỉnh kênh và quan sát mục Giá",,"- Sau khi chỉnh sửa, trạng thái hiển thị giá bài giảng phải cập nhật theo giá mới.
- Không còn hiển thị trạng thái “Miễn phí” nữa.",,,,M,Kênh của tôi,Ðã hoàn thành,,15/10/2025,16/10/2025,,Hoa,Trịnh Trần Phương Chiến,
25,Giá của bộ bài giảng hiển thị không đồng bộ giữa các màn hình (Kênh của tôi và Chi tiết bộ bài giảng),"Khi giá chung của bộ bài giảng = 0, hệ thống hiển thị giá không thống nhất giữa các màn hình. Tại màn hình Kênh của tôi hiển thị là Miễn phí, trong khi màn hình Chi tiết bộ bài giảng hiển thị 0đ/tháng","1. Truy cập màn hình Kênh của tôi
2. Tạo một bộ bài giảng với giá chung = 0đ
3. Lưu bộ bài giảng
4. Quan sát phần hiển thị giá của bộ bài giảng tại:
- Màn hình Kênh của tôi
- Trang Chi tiết bộ bài giảng",,Khi giá chung của bộ = 0 → hệ thống thống nhất hiển thị là Miễn phí ở tất cả các vị trí.,,,,M,Kênh của tôi,Ðã hoàn thành,,15/10/2025,16/10/2025,,Hoa,Trịnh Trần Phương Chiến,
26,Trạng thái xác minh của bộ bài giảng không đồng bộ giữa màn hình Kênh của tôi và màn hình Chi tiết bộ bài giảng,Trạng thái xác minh của bộ bài giảng hiển thị khác nhau giữa màn hình danh sách Kênh của tôi và trang Chi tiết bộ bài giảng,"1. Truy cập màn hình Kênh của tôi
2. Quan sát trạng thái hiển thị tại danh sách (hiển thị là Đã xác minh)
3. Click vào Xem chi tiết bộ bài giảng đó
4. Quan sát trạng thái xác minh hiển thị tại trang Chi tiết bộ bài giảng",,Trạng thái xác minh hiển thị tại màn hình Kênh của tôi và trang Chi tiết bộ bài giảng phải đồng bộ nhau,,,,M,Kênh của tôi,Ðã hoàn thành,,15/10/2025,16/10/2025,,Hoa,Trịnh Trần Phương Chiến,
27,Trạng thái chọn radio khi nhập >3 số bị mất ,"Tại form Tùy chỉnh kênh, khi người dùng nhập giá trị vào ô Giá, hệ thống sẽ tự động tích chọn radio button tương ứng. Tuy nhiên, nếu người dùng nhập giá trị có nhiều hơn 3 chữ số (ví dụ: 1000), hệ thống sẽ tự động định dạng lại giá trị bằng cách thêm dấu phẩy (thành 1,000) và đồng thời radio button bị hủy trạng thái chọn","1. Truy cập trang Kênh của tôi → mở form Tùy chỉnh kênh
2. Tại ô nhập giá cho kênh:
- Nhập giá trị có ≤ 3 chữ số (VD: 100) → quan sát radio button
- Tiếp tục nhập giá trị có > 3 chữ số (VD: 1000)
3. Quan sát trạng thái của radio button tương ứng với trường giá",,"- Khi nhập giá trị bất kỳ (kể cả > 3 chữ số), radio button tương ứng với loại giá vẫn giữ trạng thái được chọn
- Việc định dạng số có dấu phẩy (VD: 1,000) không ảnh hưởng đến trạng thái chọn của radio",,,,M,Kênh của tôi,Ðã hoàn thành,,16/10/2025,27/10/2025,,Hoa,Trịnh Trần Phương Chiến,
28,Chiều cao khung file media bị tràn,"Khi hiển thị file media trong giao diện, khung chứa bị tràn chiều cao ra ngoài vùng hiển thị","1. Truy cập Thư viện của tôi
2. Tải file media có kích thước chiều cao lớn vào thư viện
4. Quan sát giao diện hiển thị phần media ","mxh04
Thư viện > file_test > test_video_1.mp4","File media hiển thị trong khung với chiều cao được giới hạn, có cơ chế co giãn nếu vượt quá chiều cao cho phép",,,,M,Thư viện,Ðã hoàn thành,,16/10/2025,27/10/2025,,Hoa,Trịnh Trần Phương Chiến,
29,Bài giảng mới tạo không được hiển thị ngay trong Thư viện → cần F5 trang mới thấy,,"1. Truy cập màn hình Thư viện của tôi
2. Nhấn Tạo mới > Tạo bài giảng > Nhập Tiêu đề > Thêm → hệ thống mở tool tạo bài giảng 
3. Quay trở lại tab social màn Thư viện của tôi
4. Quan sát danh sách hiển thị bài giảng ",,"Ngay khi nhấn nút Thêm, hệ thống phải:
- Mở tool tạo bài giảng ở tab mới
- Đồng thời Thư viện của tôi tại tab Bài giảng hiển thị ngay một bản ghi bài giảng nháp (với thông tin vừa tạo) trong danh sách nội dung
Người dùng không cần F5 trang để thấy bài giảng mới tạo",,,,M,Thư viện,Ðã hoàn thành,,16/10/2025,04/11/2025,,Hoa,Trịnh Trần Phương Chiến,
30,Tài khoản được chia sẻ không xem được file đã được chia sẻ từ tài khoản khác,,"1. Tại màn hình Thư viện của tôi (mxh04)
2. Thực hiện chia sẻ file cho tài khoản mxh05
3. Đăng nhập tài khoản mxh05@el.net
4. Truy cập Thư viện của tôi > Được chia sẻ 
5. Quan sát danh sách hiển thị nội dung được chia sẻ: chia sẻ thành công không?
6. Mở file được chia sẻ",,"Tài khoản được chia sẻ phải: 
- Nhìn thấy file được chia sẻ tại màn hình Được chia sẻ
- Có thể mở và xem nội dung file bình thường, đúng với quyền được cấp từ mxh04@el.net
- Không cần reload trang thủ công để hiển thị file ",,,,H,Thư viện,Ðã hoàn thành,1 🤥,16/10/2025,12/11/2025,"RO 4/11

---> hiện tại còn các file media liên quan tới wowza (video, audio) thì sẽ không xem được, phía BE sẽ kiểm tra lại (05/11).

audio hiện tại hỗ trợ: wav, mp3, m4a",Hoa,Trịnh Trần Phương Chiến,
31,Button Thêm không tự động enable khi người dùng nhập giá trị hợp lệ vào trường bắt buộc trong modal tạo bài giảng,,"1. Thư viện của tôi > Tạo mới > Tạo bài giảng 
2. Không nhập bất kỳ thông tin nào → nhấn nút Thêm
3. Hệ thống highlight lỗi ở trường Tiêu đề và disable nút Thêm 
4. Nhập giá trị hợp lệ tại trường Tiêu đề 
5. Quan sát trạng thái của nút Thêm ngay sau khi nhập",,"- Ngay khi nhập đủ giá trị hợp lệ cho trường bắt buộc, nút Thêm phải tự động chuyển sang trạng thái khả dụng (enabled) để cho phép nhấn tạo
- Không cần thao tác thêm như click ra ngoài input ",,,,M,Thư viện,Ðã hoàn thành,,16/10/2025,04/11/2025,,Hoa,Trịnh Trần Phương Chiến,
