STT,Product,Tính năng,Yêu cầu,Trạng thái,Kết luân,Mô tả
3.7.1,,,"Giáo viên sử dụng để tạo biểu đồ với mẫu có sẵn: cột, cột chồng, đường, tròn... và nhập số liệu vào bảng dữ liệu để tạo ra một biểu đồ chính xác, nhanh chóng.",Đã có,,
3.8,,Công cụ mindmap:,,Đã có,,
3.8.1,,,"Giáo viên sử dụng để tạo mindmap từ mẫu có sẵn dễ dàng, có thể tùy chỉnh hình ảnh, văn bản hiển thị trên các điểm nút theo ý tưởng thiết kế.",Đã có,,
3.9,,Tải lên Powerpoint:,,Đã có,,
3.9.1,,,"Cho phép giáo viên nhập file nguyên Powerpoint từ máy tính cá nhân lên công cụ soạn giảng, giữ nguyên hiệu ứng của powerpoint, giáo viên có thể chỉnh sửa hiệu ứng tương tự như powerpoint.",Đã có,,
3.1,,Trình chiếu:,,Đã có,,
3.10.1,,,Giúp giáo viên có thể trình chiếu bài giảng trực tiếp cho học sinh.,Đã có,,
3.11,,Xuất/ Nhập tệp nén:,,Đã có,,
3.11.1,,,Cho phép giáo viên dễ dàng xuất cũng như nhập lại bài giảng dưới dạng tệp nén.,Đã có,,
3.12,,Tính năng Timeline:,,Đã có,,
3.12.1,,,"Giúp giáo viên tạo được phát triển những bài giảng tương tác bằng giao diện dòng thời gian thuận tiện trong việc sắp xếp các hoạt ảnh, phân nhóm các hoạt cảnh.",Đã có,,
3.13,,Thiết lập template:,,Đã có,,
3.13.1,,,"Giúp giáo viên có thể tạo thiết lập từ bài giảng tương tác, giúp tiết kiệm thời gian khi giáo viên tạo bài giảng tương tự.",Đã có,,
3.14,,Tính năng Hiệu ứng:,,Đã có,,
3.14.1,,,Giúp giáo viên cho các bài giảng tương tác những hiệu ứng sinh động tùy theo mục đích sử dụng của giáo viên.,Đã có,,
3.15,,Tính năng Kéo thả:,,Đã có,,
3.15.1,,,"Giúp di chuyển các văn bản, hình ảnh có trên bài giảng hoặc kéo thả các câu trả lời đúng.",Đã có,,
3.16,,Tính năng Phát phim hình:,,Đã có,,
3.16.1,,,Dùng tài nguyên từ phim hình để tạo nên những chuyển động của nhân vật hay bức ảnh sinh động giúp giáo viên có một bài giảng đặc sắc thu hút học sinh.,Đã có,,
3.17,,Tính năng Khung chứa:,,Đã có,,
3.17.1,,,"Tạo những khung chứa để chứa những hình ảnh, văn bản khi được kéo thả vào.",Đã có,,
3.18,,"Tính năng Hiện ẩn văn bản, hình ảnh:",,Đã có,,
3.18.1,,,"Các văn bản hình ảnh có thể ẩn hiện theo ý muốn có thể theo các kiểu mờ, ẩn hiện, hiện tùy theo ý của giáo viên.",Đã có,,
3.19,,Tính năng Nối:,,Đã có,,
3.19.1,,,Cho phép tạo điểm nối bắt đầu và kết thúc để tạo nên tương tác nối hai hoặc nhiều đối tượng trên bài giảng với nhau dễ dàng cho các bài giảng tương tác nối.,Đã có,,
3.2,,Tính năng Chỉnh sửa khi trình chiếu,,Đã có,,
3.20.1,,,Tạo nên các văn bản có thể chỉnh sửa ngay cả khi được trình chiếu.,Đã có,,
3.21,,Tính năng hiệu ứng Văn bản,,Đã có,,
3.21.1,,,Tính năng thay đổi nền cho văn bản: Thay đổi nền của văn bản bằng các màu sắc hoặc hình ảnh thêm đặc sắc cho bài giảng của giáo viên.,Đã có,,
3.21.2,,,"Tính năng Thay đổi màu văn bản: Điều chỉnh giúp các tương tác có thể thay đổi được màu chữ theo ý muốn của giáo viên.
",Đã có,,
3.21.3,,,"Thay đổi hiệu ứng cho văn bản: Thêm đổ bóng cho văn bản mức độ đổ bóng và độ trong suốt.
",Đã có,,
3.21.4,,,Thay đổi khung viền cho văn bản: Chỉnh màu sắc độ dày của khung văn bản phù hợp với bài giảng và với các tương tác của bài.,Đã có,,
3.22,,Tính năng Thay đổi con trỏ chuột khi di chuột vào,,Đã có,,
3.22.1,,,Con trỏ chuột khi di đến hình ảnh hay văn bản nào đó sẽ thay đổi hình dạng con trỏ chuột giúp giáo viên thể hiện những hình ảnh hay văn bản có thể tương tác.,Đã có,,
3.23,,Tính năng Thay đổi thứ tự lớp,,Đã có,,
3.23.1,,,Thay đổi thứ tự các lớp trong bài giảng để phù hợp quá trình giảng dạy và các tương tác với bài giảng.,Đã có,,
3.24,,Tính năng thay đổi Thuộc tính tùy chỉnh,,Đã có,,
3.24.1,,,Tạo các thuộc tính tùy chỉnh của đối tượng trên slide để phù hợp với thiết kế bài giảng và nội dung phù hợp.,Đã có,,
3.25,,Tính năng Di chuyển theo quỹ đạo,,Đã có,,
3.25.1,,,Giáo viên có thể vẽ quỹ đạo và cho văn bản hoặc hình ảnh chạy theo quỹ đạo theo ý muốn,Đã có,,
3.26,,Tính năng Di chuyển theo đường,,Đã có,,
3.26.1,,,Giáo viên có thể vẽ đường theo ý muốn và cho văn bản hoặc hình ảnh di chuyển theo ý muốn với tốc độ độ tùy chỉnh.,Đã có,,
3.27,,Tính năng thao tác với slide,,Đã có,,
3.27.1,,,"Copy nhân bản slide, di chuyển thứ tự vị trí các slide, xóa slide….",Đã có,,
3.28,,Tính năng tạo mục lục cho bài giảng,,,,
3.28.1,,,Có thể nhóm các slide vào các mục lục hình cây,Chưa có,,
4,Phần mềm Lớp học Stem cho Học sinh (Student's Stem Room),,,,,
4.1,,Đăng nhập & Tham gia Lớp học:,,,,
4.1.1,,,"- Học sinh truy cập phần mềm nhập ""Mã lớp học""",Chưa có,,HS nhập tài khoản được cấp
4.1.2,,,- Học sinh xem được danh sách tham gia.,Đã có,,
4.2,,Tiếp nhận Trình chiếu và tương tác:,,,,
4.2.1,,,- Học sinh xem Giáo viên trình chiếu các bài giảng được thiết kế dưới dạng tương tác.,Đã có,,
4.2.2,,,- Học sinh có thể trực tiếp thực hiện các hành động trên màn hình bài giảng.,Đã có,,
4.2.3,,,"- Tiếp nhận Tin nhắn & phản hồi: Nhận các tin nhắn tức thì, nhắc nhở hoặc hướng dẫn cá nhân từ giáo viên và phản hồi",Đã có,,
4.3,,"Thực hành Bài tập, Dự án trên lớp:",,,,
4.3.1,,,- Tương tác được với Nội dung khi Giáo viên yêu cầu.,Đã có,,
4.3.2,,,"- Tham gia các Hoạt động ""Game hóa”, Học sinh tham gia trả lời câu hỏi để ghi điểm, thi đua với các bạn trong lớp.",Đã có,,
4.3.3,,,"- Bảng trắng Tương tác (Whiteboard): Học sinh có thể được giáo viên mời lên bảng để viết câu trả lời, vẽ hình,...",Đã có,,
4.3.4,,,"- Học sinh làm bài kiểm tra trắc nghiệm, bài tập tự luận hoặc phiếu bài tập tương tác ngay trong buổi học.",Đã có,,
4.3.5,,,- Hệ thống chấm điểm tự động cho các câu hỏi trắc nghiệm.,Đã có,,
4.4,,Công cụ Hợp tác làm Dự án nhóm:,,,,
4.4.1,,,Làm việc nhóm: sử dụng không gian làm việc chung của Nhóm trong thời gian thực.,Đã có,,
4.5,,Bảng trắng Tương tác (Whiteboard),,,,
4.5.1,,,- Giáo viên và học sinh đều có thể sử dụng đồng thời bảng trắng.,Đã có,,
4.5.2,,,"- Học sinh có thể được giáo viên mời lên bảng để viết câu trả lời, vẽ hình,...",Đã có,,
4.6,,Các công cụ Giao tiếp trong Lớp học,,,,
4.6.1,,,"- Giơ tay phát biểu (Raise Hand): Học sinh nhấp vào biểu tượng giơ tay để báo hiệu muốn trả lời câu hỏi hoặc có ý kiến, giúp lớp học có trật tự.",Đã có,,
4.7,,"Làm Bài kiểm tra, Bài thi:",,Chưa có,,Không có bài thi
4.7.1,,,"- Học sinh làm bài kiểm tra trắc nghiệm, bài tập tự luận hoặc phiếu bài tập tương tác ngay trong buổi học.",,,
4.7.2,,,- Hệ thống chấm điểm tự động cho các câu hỏi trắc nghiệm.,,,
